Log_name	Pos	Event_type	Server_id	End_log_pos	Info
mysql-bin.000002	2880889	Table_map	1	2880948	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2880948	Write_rows	1	2880989	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2880989	Table_map	1	2881056	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2881056	Write_rows	1	2881116	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2881116	Table_map	1	2881185	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2881185	Write_rows	1	2883617	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2883617	Table_map	1	2883698	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2883698	Write_rows	1	2883862	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2883862	Table_map	1	2883921	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2883921	Write_rows	1	2883962	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2883962	Table_map	1	2884029	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2884029	Write_rows	1	2884090	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2884090	Table_map	1	2884159	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2884159	Write_rows	1	2886268	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2886268	Table_map	1	2886349	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2886349	Write_rows	1	2886713	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2886713	Table_map	1	2886772	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2886772	Write_rows	1	2886813	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2886813	Table_map	1	2886880	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2886880	Write_rows	1	2886943	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2886943	Table_map	1	2887012	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2887012	Write_rows	1	2888169	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2888169	Table_map	1	2888250	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2888250	Write_rows	1	2888465	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2888465	Table_map	1	2888524	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2888524	Write_rows	1	2888565	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2888565	Table_map	1	2888632	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2888632	Write_rows	1	2888692	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2888692	Table_map	1	2888761	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2888761	Write_rows	1	2891652	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2891652	Table_map	1	2891733	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2891733	Write_rows	1	2891970	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2891970	Table_map	1	2892029	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2892029	Write_rows	1	2892070	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2892070	Table_map	1	2892137	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2892137	Write_rows	1	2892197	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2892197	Table_map	1	2892266	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2892266	Write_rows	1	2894358	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2894358	Table_map	1	2894439	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2894439	Write_rows	1	2894603	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2894603	Table_map	1	2894662	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2894662	Write_rows	1	2894703	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2894703	Table_map	1	2894770	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2894770	Write_rows	1	2894834	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2894834	Table_map	1	2894903	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2894903	Write_rows	1	2897012	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2897012	Table_map	1	2897093	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2897093	Write_rows	1	2897403	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2897403	Table_map	1	2897462	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2897462	Write_rows	1	2897503	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2897503	Table_map	1	2897570	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2897570	Write_rows	1	2897630	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2897630	Table_map	1	2897699	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2897699	Write_rows	1	2899757	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2899757	Table_map	1	2899838	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2899838	Write_rows	1	2899965	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2899965	Table_map	1	2900024	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2900024	Write_rows	1	2900065	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2900065	Table_map	1	2900132	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2900132	Write_rows	1	2900181	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2900181	Table_map	1	2900250	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2900250	Write_rows	1	2904416	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2904416	Table_map	1	2904497	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2904497	Write_rows	1	2904677	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2904677	Table_map	1	2904736	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2904736	Write_rows	1	2904777	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2904777	Table_map	1	2904844	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2904844	Write_rows	1	2904898	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2904898	Table_map	1	2904967	table_id: 106 (mysql.time_zone_transition)
mysql-bin.000002	2904967	Write_rows	1	2909133	table_id: 106 flags: STMT_END_F
mysql-bin.000002	2909133	Table_map	1	2909214	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2909214	Write_rows	1	2909394	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2909394	Table_map	1	2909453	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2909453	Write_rows	1	2909494	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2909494	Table_map	1	2909561	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2909561	Write_rows	1	2909611	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2909611	Table_map	1	2909692	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2909692	Write_rows	1	2909745	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2909745	Table_map	1	2909804	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2909804	Write_rows	1	2909845	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2909845	Table_map	1	2909912	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2909912	Write_rows	1	2909964	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2909964	Table_map	1	2910045	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2910045	Write_rows	1	2910098	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2910098	Table_map	1	2910157	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2910157	Write_rows	1	2910198	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2910198	Table_map	1	2910265	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2910265	Write_rows	1	2910317	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2910317	Table_map	1	2910398	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2910398	Write_rows	1	2910451	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2910451	Table_map	1	2910510	table_id: 104 (mysql.time_zone)
mysql-bin.000002	2910510	Write_rows	1	2910551	table_id: 104 flags: STMT_END_F
mysql-bin.000002	2910551	Table_map	1	2910618	table_id: 105 (mysql.time_zone_name)
mysql-bin.000002	2910618	Write_rows	1	2910669	table_id: 105 flags: STMT_END_F
mysql-bin.000002	2910669	Table_map	1	2910750	table_id: 107 (mysql.time_zone_transition_type)
mysql-bin.000002	2910750	Write_rows	1	2910803	table_id: 107 flags: STMT_END_F
mysql-bin.000002	2910803	Table_map	1	2910862	table_id: 104 (mysql.time_zone)
